entity_id,state,last_changed
sensor.balkonkraftwerk_power,18.5,2024-11-28T07:41:28.483Z
sensor.balkonkraftwerk_power,18.6,2024-11-28T07:41:48.482Z
sensor.balkonkraftwerk_power,18.8,2024-11-28T07:41:53.481Z
sensor.balkonkraftwerk_power,19.8,2024-11-28T07:41:58.482Z
sensor.balkonkraftwerk_power,21.3,2024-11-28T07:42:04.000Z
sensor.balkonkraftwerk_power,21.9,2024-11-28T07:42:08.484Z
sensor.balkonkraftwerk_power,21.7,2024-11-28T07:42:13.485Z
sensor.balkonkraftwerk_power,20.8,2024-11-28T07:42:18.482Z
sensor.balkonkraftwerk_power,19.8,2024-11-28T07:42:23.483Z
sensor.balkonkraftwerk_power,19.4,2024-11-28T07:42:28.484Z
sensor.balkonkraftwerk_power,19.5,2024-11-28T07:42:33.485Z
sensor.balkonkraftwerk_power,20.7,2024-11-28T07:42:38.487Z
sensor.balkonkraftwerk_power,21.9,2024-11-28T07:42:43.485Z
sensor.balkonkraftwerk_power,22.5,2024-11-28T07:42:48.487Z
sensor.balkonkraftwerk_power,22.6,2024-11-28T07:42:53.485Z
sensor.balkonkraftwerk_power,22.5,2024-11-28T07:43:03.487Z
sensor.balkonkraftwerk_power,22.9,2024-11-28T07:43:08.485Z
sensor.balkonkraftwerk_power,23.4,2024-11-28T07:43:13.485Z
sensor.balkonkraftwerk_power,23.9,2024-11-28T07:43:18.486Z
sensor.balkonkraftwerk_power,24.2,2024-11-28T07:43:23.485Z
sensor.balkonkraftwerk_power,24.4,2024-11-28T07:43:28.483Z
sensor.balkonkraftwerk_power,24.5,2024-11-28T07:43:33.487Z
sensor.balkonkraftwerk_power,24.4,2024-11-28T07:43:43.483Z
sensor.balkonkraftwerk_power,24.6,2024-11-28T07:43:48.484Z
sensor.balkonkraftwerk_power,24.7,2024-11-28T07:44:03.487Z
sensor.balkonkraftwerk_power,24.8,2024-11-28T07:44:18.491Z
sensor.balkonkraftwerk_power,24.9,2024-11-28T07:44:23.485Z
sensor.balkonkraftwerk_power,25.0,2024-11-28T07:44:28.485Z
sensor.balkonkraftwerk_power,25.1,2024-11-28T07:44:38.486Z
sensor.balkonkraftwerk_power,25.3,2024-11-28T07:44:48.488Z
sensor.balkonkraftwerk_power,25.4,2024-11-28T07:44:58.486Z
sensor.balkonkraftwerk_power,25.5,2024-11-28T07:45:03.486Z
sensor.balkonkraftwerk_power,25.6,2024-11-28T07:45:08.485Z
sensor.balkonkraftwerk_power,25.8,2024-11-28T07:45:13.487Z
sensor.balkonkraftwerk_power,25.9,2024-11-28T07:45:23.488Z
sensor.balkonkraftwerk_power,26.1,2024-11-28T07:45:28.487Z
sensor.balkonkraftwerk_power,26.2,2024-11-28T07:45:38.488Z
sensor.balkonkraftwerk_power,26.3,2024-11-28T07:45:43.486Z
sensor.balkonkraftwerk_power,26.4,2024-11-28T07:45:48.488Z
sensor.balkonkraftwerk_power,26.5,2024-11-28T07:45:53.486Z
sensor.balkonkraftwerk_power,26.6,2024-11-28T07:45:58.488Z
sensor.balkonkraftwerk_power,26.7,2024-11-28T07:46:03.487Z
sensor.balkonkraftwerk_power,26.8,2024-11-28T07:46:08.488Z
sensor.balkonkraftwerk_power,26.9,2024-11-28T07:46:13.486Z
sensor.balkonkraftwerk_power,27.0,2024-11-28T07:46:18.488Z
sensor.balkonkraftwerk_power,27.1,2024-11-28T07:46:23.486Z
sensor.balkonkraftwerk_power,27.2,2024-11-28T07:46:28.487Z
sensor.balkonkraftwerk_power,27.3,2024-11-28T07:46:33.490Z
sensor.balkonkraftwerk_power,27.4,2024-11-28T07:46:38.489Z
sensor.balkonkraftwerk_power,27.5,2024-11-28T07:46:43.490Z
sensor.balkonkraftwerk_power,27.6,2024-11-28T07:46:48.488Z
sensor.balkonkraftwerk_power,27.8,2024-11-28T07:46:53.488Z
sensor.balkonkraftwerk_power,28.2,2024-11-28T07:46:58.488Z
sensor.balkonkraftwerk_power,28.1,2024-11-28T07:47:03.487Z
sensor.balkonkraftwerk_power,28.4,2024-11-28T07:47:08.493Z
sensor.balkonkraftwerk_power,28.6,2024-11-28T07:47:13.489Z
sensor.balkonkraftwerk_power,28.5,2024-11-28T07:47:18.487Z
sensor.balkonkraftwerk_power,28.8,2024-11-28T07:47:23.488Z
sensor.balkonkraftwerk_power,29.0,2024-11-28T07:47:28.488Z
sensor.balkonkraftwerk_power,29.3,2024-11-28T07:47:33.490Z
sensor.balkonkraftwerk_power,30.0,2024-11-28T07:47:38.488Z
sensor.balkonkraftwerk_power,29.8,2024-11-28T07:47:43.487Z
sensor.balkonkraftwerk_power,29.9,2024-11-28T07:47:48.489Z
sensor.balkonkraftwerk_power,30.4,2024-11-28T07:47:53.490Z
sensor.balkonkraftwerk_power,30.3,2024-11-28T07:47:58.487Z
sensor.balkonkraftwerk_power,30.6,2024-11-28T07:48:03.489Z
sensor.balkonkraftwerk_power,30.8,2024-11-28T07:48:08.493Z
sensor.balkonkraftwerk_power,31.0,2024-11-28T07:48:13.488Z
sensor.balkonkraftwerk_power,31.2,2024-11-28T07:48:18.489Z
sensor.balkonkraftwerk_power,31.5,2024-11-28T07:48:23.489Z
sensor.balkonkraftwerk_power,31.7,2024-11-28T07:48:28.489Z
sensor.balkonkraftwerk_power,32.2,2024-11-28T07:48:33.488Z
sensor.balkonkraftwerk_power,32.5,2024-11-28T07:48:38.489Z
sensor.balkonkraftwerk_power,32.8,2024-11-28T07:48:43.488Z
sensor.balkonkraftwerk_power,33.3,2024-11-28T07:48:48.488Z
sensor.balkonkraftwerk_power,33.7,2024-11-28T07:48:53.488Z
sensor.balkonkraftwerk_power,34.0,2024-11-28T07:48:58.488Z
sensor.balkonkraftwerk_power,34.3,2024-11-28T07:49:03.489Z
sensor.balkonkraftwerk_power,34.5,2024-11-28T07:49:08.489Z
sensor.balkonkraftwerk_power,34.8,2024-11-28T07:49:13.487Z
sensor.balkonkraftwerk_power,35.2,2024-11-28T07:49:18.490Z
sensor.balkonkraftwerk_power,35.5,2024-11-28T07:49:23.489Z
sensor.balkonkraftwerk_power,35.9,2024-11-28T07:49:28.490Z
sensor.balkonkraftwerk_power,36.1,2024-11-28T07:49:33.490Z
sensor.balkonkraftwerk_power,36.4,2024-11-28T07:49:38.490Z
sensor.balkonkraftwerk_power,37.0,2024-11-28T07:49:43.490Z
sensor.balkonkraftwerk_power,37.5,2024-11-28T07:49:48.489Z
sensor.balkonkraftwerk_power,38.0,2024-11-28T07:49:53.489Z
sensor.balkonkraftwerk_power,38.5,2024-11-28T07:49:58.489Z
sensor.balkonkraftwerk_power,38.8,2024-11-28T07:50:03.490Z
sensor.balkonkraftwerk_power,39.7,2024-11-28T07:50:08.493Z
sensor.balkonkraftwerk_power,40.3,2024-11-28T07:50:13.492Z
